sent	sentiment
['아내', '출산', '되', '신', '나']	0
['당뇨', '합병증', '때문', '먹', '할', '이', '열', '가지', '넘어가', '스트레스', '야']	3
['고등학교', '올라오', '중학교', '때', '수업', '어려워져서', '당황']	1
['재취업', '돼서', '받', '된', '월급', '온', '가족', '외식', '할', '예정', '이', '행복']	0
['빚', '갚', '되', '안도감', '들']	0
['은퇴', '시기', '되', '내', '은퇴', '하', '육', '개월', '후', '남편', '은퇴', '하', '둘', '이', '하루', '종일', '있', '생각', '해도', '숨', '막혀']	3
['사', '십', '대', '접어들', '머리카락', '빠져', '고민', '이']	5
['돈', '이', '해']	2
['친구', '나', '괴롭혀', '부모', '선생', '얘기', '믿', '주', '않']	2
['친구', '때문', '눈물', '나']	5
['간', '치과', '썩', '한', '이', '임', '플란트', '하', '했', '과잉', '진료', '한다더니']	4
['선생', '나', '앞', '나와', '문제', '풀', '보', '했', '답', '외워서', '문제', '풀']	1
['내', '무능', '자기', '좋', '대학', '들어갔', '딸', '말', '듣', '괴로워']	1
['아내', '건강', '악화', '걱정', '불안']	3
['남편', '죽', '전', '손자', '얼굴', '보', '싶', '했', '늦', '않', '안도']	0
['날', '좋', '하', '남자', '애', '내', '생일', '케이크', '선물', '주', '친구', '나', '사귄다고', '소문', '내', '다닌', '거', '야']	2
['이번', '고시', '불합격', '부모', '소리', '들', '두려워']	3
['내', '일', '수', '있', '자리', '줄어든다는', '걸', '생각', '속상해']	2
['남편', '건강', '오랫동안', '살', '싶', '남편', '당뇨병', '걸렸']	5
['공부', '해도', '성적', '오르', '않']	3
['지난주', '주식', '폭락', '큰', '손해', '봤', '해야', '좋', '모르', '정신', '나갈', '것', '같']	5
['다이어트', '했', '야']	2
['요즘', '아들', '말', '사업', '시작', '봐']	1
['친구', '사', '준', '로또', '당첨', '됐']	0
['교수', '과제', '내주', '에세이', '애쓴', '내']	1
['어릴', '때', '친구', '사이', '좋', '요즘', '친구', '관계', '친구', '의미', '없', '것', '같']	5
['엄마', '나', '해', '줘']	3
